fecha_hecho,delito,sexo,edad,colonia_catalogo,alcaldia_catalogo,latitud,longitud,anio_hecho,mes_hecho,dia_hecho,indice_alcaldia,,
30/04/2018,USURPACIÓN DE IDENTIDAD,0,46,San Rafael,Cuauhtémoc,19.43781,-99.16393,2018,4,30,4.00,,
30/04/2018,USURPACIÓN DE IDENTIDAD,0,28,Ciudad De Los Deportes,Benito Juárez,19.38412,-99.17689,2018,4,30,1.00,,
01/05/2018,USURPACIÓN DE IDENTIDAD,1,28,Insurgentes Mixcoac,Benito Juárez,19.37219,-99.17965,2018,5,1,1.00,,
09/05/2018,USURPACIÓN DE IDENTIDAD,1,33,Peralvillo,Cuauhtémoc,19.46022,-99.13076,2018,5,9,4.00,,
15/05/2018,USURPACIÓN DE IDENTIDAD,1,55,Guadalupe Inn,Álvaro Obregón,19.35613,-99.18627,2018,5,15,15.00,,
15/05/2018,USURPACIÓN DE IDENTIDAD,1,37,Pueblo De Santiago Atzacoalco,Gustavo A. Madero,19.49746,-99.09636,2018,5,15,5.00,,
17/05/2018,USURPACIÓN DE IDENTIDAD,1,27,Aquiles Serdan,Venustiano Carranza,19.4449418,-99.0904817,2018,5,17,13.00,,
20/05/2018,USURPACIÓN DE IDENTIDAD,0,52,Barrio Candelaria Ticoman,Gustavo A. Madero,19.5227338,-99.1370333,2018,5,20,5.00,,
23/05/2018,USURPACIÓN DE IDENTIDAD,1,29,Centro,Cuauhtémoc,19.42404,-99.1376,2018,5,23,4.00,,
01/06/2018,USURPACIÓN DE IDENTIDAD,1,61,Lomas De Bezares,Miguel Hidalgo,19.3913862,-99.2395874,2018,6,1,9.00,,
03/06/2018,USURPACIÓN DE IDENTIDAD,1,62,Torre Blanca,Miguel Hidalgo,19.45953,-99.18994,2018,6,3,9.00,,
06/06/2018,USURPACIÓN DE IDENTIDAD,0,39,El Triangulo,Iztapalapa,19.32215557,-99.05161321,2018,6,6,7.00,,
08/06/2018,USURPACIÓN DE IDENTIDAD,1,41,Centro De Azcapotzalco,Azcapotzalco,19.48466,-99.18867,2018,6,8,0.00,,
08/06/2018,USURPACIÓN DE IDENTIDAD,1,33,Los Olivos,Tláhuac,19.3032,-99.06167,2018,6,8,12.00,,
11/06/2018,USURPACIÓN DE IDENTIDAD,1,55,Salvador Diaz Miron,Gustavo A. Madero,19.48909,-99.10009,2018,6,11,5.00,,
12/06/2018,USURPACIÓN DE IDENTIDAD,0,38,Roma Norte,Cuauhtémoc,19.41177,-99.15669,2018,6,12,4.00,,
13/06/2018,USURPACIÓN DE IDENTIDAD,0,40,Narvarte Poniente,Benito Juárez,19.39823,-99.15762,2018,6,13,1.00,,
15/06/2018,USURPACIÓN DE IDENTIDAD,1,29,Torres De Potrero,Álvaro Obregón,19.33156,-99.24877,2018,6,15,15.00,,
18/06/2018,USURPACIÓN DE IDENTIDAD,1,51,Portales Norte,Benito Juárez,19.36475198,-99.14544734,2018,6,18,1.00,,
20/06/2018,USURPACIÓN DE IDENTIDAD,1,49,Petrolera Taxqueña,Coyoacán,19.33587,-99.13253,2018,6,20,2.00,,
05/07/2018,USURPACIÓN DE IDENTIDAD,1,31,Barrio La Concepcion,Coyoacán,19.34374,-99.15619,2018,7,5,2.00,,
09/07/2018,USURPACIÓN DE IDENTIDAD,1,64,Ampliacion Emiliano Zapata,Iztapalapa,19.33809,-98.97654,2018,7,9,7.00,,
13/07/2018,USURPACIÓN DE IDENTIDAD,1,40,Pedregal De Carrasco,Coyoacán,19.30169585,-99.16503578,2018,7,13,2.00,,
15/07/2018,USURPACIÓN DE IDENTIDAD,0,35,San Juan,Benito Juárez,19.38013,-99.18715,2018,7,15,1.00,,
15/07/2018,USURPACIÓN DE IDENTIDAD,1,20,Lomas De La Era,Álvaro Obregón,19.32776,-99.25892,2018,7,15,15.00,,
16/07/2018,USURPACIÓN DE IDENTIDAD,0,25,Narvarte Oriente,Benito Juárez,19.39057,-99.15415,2018,7,16,1.00,,
16/07/2018,USURPACIÓN DE IDENTIDAD,1,36,Doctores,Cuauhtémoc,19.41871231,-99.15038556,2018,7,16,4.00,,
17/07/2018,USURPACIÓN DE IDENTIDAD,1,55,Pueblo San Francisco Tlalnepantla,Xochimilco,19.20048,-99.12012,2018,7,17,14.00,,
17/07/2018,USURPACIÓN DE IDENTIDAD,1,73,Del Valle Sur,Benito Juárez,19.37342,-99.17799,2018,7,17,1.00,,
18/07/2018,USURPACIÓN DE IDENTIDAD,1,33,Aeronautica Militar,Venustiano Carranza,19.41777,-99.11607,2018,7,18,13.00,,
19/07/2018,USURPACIÓN DE IDENTIDAD,1,45,Guadalupe Victoria Cuautepec,Gustavo A. Madero,19.53776,-99.1413,2018,7,19,5.00,,
21/07/2018,USURPACIÓN DE IDENTIDAD,1,33,San Felipe De Jesus,Gustavo A. Madero,19.4926,-99.07573,2018,7,21,5.00,,
24/07/2018,USURPACIÓN DE IDENTIDAD,1,37,El Tianguillo,Cuajimalpa de Morelos,19.32336873,-99.32302594,2018,7,24,3.00,,
27/07/2018,USURPACIÓN DE IDENTIDAD,1,58,Fuentes Del Pedregal,Tlalpan,19.3051,-99.22552,2018,7,27,11.00,,
28/07/2018,USURPACIÓN DE IDENTIDAD,0,53,Cuchilla De Padierna,Tlalpan,19.27594,-99.2195,2018,7,28,11.00,,
31/07/2018,USURPACIÓN DE IDENTIDAD,1,39,Pueblo San Andres Totoltepec,Tlalpan,19.25108062,-99.17429095,2018,7,31,11.00,,
01/08/2018,USURPACIÓN DE IDENTIDAD,0,48,Arcos Centenario,Álvaro Obregón,19.36019,-99.22841,2018,8,1,15.00,,
01/08/2018,USURPACIÓN DE IDENTIDAD,0,28,Jardin Balbuena,Venustiano Carranza,19.41318,-99.1072,2018,8,1,13.00,,
